TIME_PERIOD,GDP Netherlands,GDP Poland,GDP Romania,Netherlands traffic volume relative to GDP,Poland traffic volume relative to GDP,Romania traffic relative to GDP
2009,872000000000.0,440000000000.0,174000000000.0,102.4,145.2,93.8
2010,847000000000.0,480000000000.0,166000000000.0,100.0,100.0,100.0
2011,905000000000.0,528000000000.0,183000000000.0,99.1,98.4,96.9
2012,839000000000.0,499000000000.0,171000000000.0,99.9,93.6,97.9
2013,877000000000.0,521000000000.0,191000000000.0,101.0,93.1,97.5
2014,892000000000.0,542000000000.0,200000000000.0,99.8,91.6,100.3
2015,766000000000.0,478000000000.0,178000000000.0,93.5,89.6,103.6
2016,784000000000.0,473000000000.0,188000000000.0,92.6,91.0,104.7
2017,834000000000.0,527000000000.0,212000000000.0,88.8,84.5,100.0
2018,914000000000.0,587000000000.0,241000000000.0,92.2,82.0,100.8
2019,910000000000.0,597000000000.0,250000000000.0,90.7,88.5,102.8
2020,914000000000.0,597000000000.0,250000000000.0,64.0,76.5,94.4
