new_cases_per_million_nl,new_deaths_per_million_nl,new_cases_per_million_pl,new_deaths_per_million_pl,NL_retail_and_recreation,NL_grocery_and_pharmacy,NL_parks,NL_transit,NL_workplaces,NL_residential,PL_retail_and_recreation,PL_grocery_and_pharmacy,PL_parks,PL_transit,PL_workplaces,PL_residential
11.444,0.0,0.452,0.025,-9.0,12.0,-5.0,-12.0,-3.0,4.0,-14.0,21.0,-13.0,-21.0,-12.0,6.0
8.825,0.285,0.477,0.025,-12.0,24.0,-2.0,-26.0,-11.0,6.0,-28.0,6.0,-29.0,-34.0,-17.0,10.0
10.02,0.114,0.878,0.025,-19.0,8.0,21.0,-28.0,-6.0,6.0,-52.0,-17.0,-29.0,-39.0,-14.0,10.0
15.828,0.455,0.401,0.0,-32.0,11.0,15.0,-33.0,-11.0,5.0,-70.0,-43.0,-17.0,-52.0,-26.0,10.0
16.625,0.228,1.455,0.025,-25.0,16.0,33.0,-49.0,-38.0,14.0,-50.0,-23.0,-20.0,-52.0,-33.0,15.0
19.699,1.082,1.53,0.025,-29.0,11.0,51.0,-54.0,-44.0,16.0,-53.0,-26.0,5.0,-53.0,-38.0,17.0
23.286,0.854,0.326,0.0,-35.0,3.0,34.0,-55.0,-44.0,16.0,-51.0,-24.0,14.0,-52.0,-39.0,16.0
30.403,1.025,2.609,0.0,-41.0,1.0,3.0,-61.0,-47.0,19.0,-52.0,-24.0,-3.0,-54.0,-40.0,17.0
36.324,1.708,1.756,0.0,-45.0,-3.0,-6.0,-61.0,-45.0,19.0,-55.0,-23.0,-31.0,-58.0,-39.0,19.0
32.624,1.708,2.785,0.0,-49.0,-9.0,24.0,-54.0,-26.0,12.0,-64.0,-32.0,-43.0,-59.0,-28.0,14.0
31.029,2.448,2.459,0.05,-60.0,-17.0,15.0,-57.0,-31.0,10.0,-76.0,-55.0,-47.0,-66.0,-33.0,12.0
46.231,1.936,2.885,0.025,-38.0,-9.0,4.0,-65.0,-50.0,18.0,-53.0,-27.0,-37.0,-59.0,-41.0,18.0
