iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients
NLD,Europe,Netherlands,2020-02-27,1,1,,,,,0.057,0.057,,,,,,7
NLD,Europe,Netherlands,2020-02-28,6,5,,,,,0.342,0.285,,,,,,8
NLD,Europe,Netherlands,2020-02-29,10,4,,,,,0.569,0.228,,,,,,9
NLD,Europe,Netherlands,2020-03-01,18,8,,,,,1.025,0.455,,,,,,11
NLD,Europe,Netherlands,2020-03-02,24,6,,,,,1.366,0.342,,,,,,10
NLD,Europe,Netherlands,2020-03-03,38,14,5.429,,,,2.164,0.797,0.309,,,,,12
NLD,Europe,Netherlands,2020-03-04,82,44,11.714,,,,4.669,2.505,0.667,,,,,15
NLD,Europe,Netherlands,2020-03-05,128,46,18.143,,,,7.288,2.619,1.033,,,,,15
NLD,Europe,Netherlands,2020-03-06,188,60,26,1,1,,10.704,3.416,1.48,0.057,0.057,,2.76,19
NLD,Europe,Netherlands,2020-03-07,265,77,36.429,1,0,,15.088,4.384,2.074,0.057,0,,2.7,21
NLD,Europe,Netherlands,2020-03-08,321,56,43.286,3,2,,18.276,3.188,2.464,0.171,0.114,,2.58,27
NLD,Europe,Netherlands,2020-03-09,382,61,51.143,3,0,,21.749,3.473,2.912,0.171,0,,2.51,32
NLD,Europe,Netherlands,2020-03-10,503,121,66.429,4,1,,28.638,6.889,3.782,0.228,0.057,,2.5,39
NLD,Europe,Netherlands,2020-03-11,603,100,74.429,5,1,0.714,34.332,5.693,4.238,0.285,0.057,0.041,2.47,48
NLD,Europe,Netherlands,2020-03-12,804,201,96.571,5,0,0.714,45.775,11.444,5.498,0.285,0,0.041,2.45,68
NLD,Europe,Netherlands,2020-03-13,959,155,110.143,10,5,1.286,54.6,8.825,6.271,0.569,0.285,0.073,2.38,79
NLD,Europe,Netherlands,2020-03-14,1135,176,124.286,12,2,1.571,64.621,10.02,7.076,0.683,0.114,0.089,2.38,96
NLD,Europe,Netherlands,2020-03-15,1413,278,156,20,8,2.429,80.449,15.828,8.882,1.139,0.455,0.138,2.43,120
NLD,Europe,Netherlands,2020-03-16,1705,292,189,24,4,3,97.073,16.625,10.761,1.366,0.228,0.171,2.4,150
NLD,Europe,Netherlands,2020-03-17,2051,346,221.143,43,19,5.571,116.773,19.699,12.591,2.448,1.082,0.317,2.33,179
NLD,Europe,Netherlands,2020-03-18,2460,409,265.286,58,15,7.571,140.059,23.286,15.104,3.302,0.854,0.431,2.27,228
NLD,Europe,Netherlands,2020-03-19,2994,534,312.857,76,18,10.143,170.462,30.403,17.812,4.327,1.025,0.577,2.21,287
NLD,Europe,Netherlands,2020-03-20,3632,638,381.857,106,30,13.714,206.786,36.324,21.741,6.035,1.708,0.781,2.16,362
NLD,Europe,Netherlands,2020-03-21,4205,573,438.571,136,30,17.714,239.41,32.624,24.97,7.743,1.708,1.009,2.08,430
NLD,Europe,Netherlands,2020-03-22,4750,545,476.714,179,43,22.714,270.439,31.029,27.142,10.191,2.448,1.293,2.03,480
NLD,Europe,Netherlands,2020-03-23,5562,812,551,213,34,27,316.67,46.231,31.371,12.127,1.936,1.537,2,573
NLD,Europe,Netherlands,2020-03-24,6414,852,623.286,276,63,33.286,365.178,48.508,35.487,15.714,3.587,1.895,1.94,653
NLD,Europe,Netherlands,2020-03-25,7434,1020,710.571,356,80,42.571,423.252,58.073,40.456,20.269,4.555,2.424,1.86,752
NLD,Europe,Netherlands,2020-03-26,8606,1172,801.714,434,78,51.143,489.979,66.727,45.645,24.71,4.441,2.912,1.76,838
NLD,Europe,Netherlands,2020-03-27,9765,1159,876.143,546,112,62.857,555.966,65.987,49.883,31.086,6.377,3.579,1.65,927
NLD,Europe,Netherlands,2020-03-28,10869,1104,952,639,93,71.857,618.822,62.856,54.202,36.381,5.295,4.091,1.55,992
NLD,Europe,Netherlands,2020-03-29,11756,887,1000.857,771,132,84.571,669.323,50.501,56.983,43.897,7.515,4.815,1.45,1038
NLD,Europe,Netherlands,2020-03-30,12601,845,1005.571,864,93,93,717.433,48.11,57.252,49.191,5.295,5.295,1.36,1126
NLD,Europe,Netherlands,2020-03-31,13620,1019,1029.429,1039,175,109,775.449,58.016,58.61,59.155,9.964,6.206,1.29,1191
